latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
34.78509,45.82004,306.19,1.05,1.02,2025-06-09,0009,A,67,6.1NRT,295.02,6.09,N
34.90306,43.80733,321.16,1,1,2025-06-09,0009,A,100,6.1NRT,298.86,16.48,N
34.89433,43.80547,333,1,1,2025-06-09,0009,A,100,6.1NRT,298.55,31.23,N
34.89277,43.81609,308.35,1,1,2025-06-09,0009,A,74,6.1NRT,297.34,6.43,N
34.86145,44.028,307.99,1,1,2025-06-09,0009,A,73,6.1NRT,296.45,6.47,N
32.24398,51.42645,305.73,2.4,1.49,2025-06-09,0009,A,65,6.1NRT,288.06,31.85,N
33.22501,44.77258,314.06,1.02,1.01,2025-06-09,0009,A,88,6.1NRT,294.52,13.06,N
33.15836,44.79067,305.97,1.02,1.01,2025-06-09,0009,A,66,6.1NRT,294.01,7.12,N
32.45531,48.16924,318.9,1.45,1.19,2025-06-09,0009,A,98,6.1NRT,298.23,23.96,N
32.45935,48.16499,313.21,1.45,1.19,2025-06-09,0009,A,87,6.1NRT,297.48,16.05,N
32.4567,48.17936,307.9,1.46,1.19,2025-06-09,0009,A,73,6.1NRT,297.63,9.64,N
32.35512,47.71006,334.48,1.37,1.16,2025-06-09,0009,A,100,6.1NRT,299.77,52.7,N
32.35251,47.72402,309.29,1.37,1.16,2025-06-09,0009,A,77,6.1NRT,296.17,11,N
32.35674,47.705,324.85,1.37,1.16,2025-06-09,0009,A,100,6.1NRT,299.25,32.4,N
32.35421,47.71896,323.65,1.37,1.16,2025-06-09,0009,A,100,6.1NRT,298.28,30.27,N
32.26388,47.24916,308.97,1.3,1.13,2025-06-09,0009,A,76,6.1NRT,294.95,11.86,N
32.26147,47.26238,305.09,1.3,1.13,2025-06-09,0009,A,63,6.1NRT,294.76,8.09,N
32.18303,47.51888,310.22,1.35,1.15,2025-06-09,0009,A,79,6.1NRT,295.65,13.63,N
32.11309,47.5588,306.99,1.36,1.15,2025-06-09,0009,A,70,6.1NRT,296.29,9.97,N
32.10556,47.55023,315.04,1.36,1.15,2025-06-09,0009,A,90,6.1NRT,295.72,19.18,N
32.12017,47.41108,319.8,1.33,1.14,2025-06-09,0009,A,99,6.1NRT,296.49,24.86,N
31.86725,48.42585,307.15,1.55,1.23,2025-06-09,0009,A,70,6.1NRT,292.22,14.53,N
31.6652,47.51659,307.98,1.38,1.16,2025-06-09,0009,A,73,6.1NRT,296.16,11.96,N
31.66262,47.53051,313.07,1.38,1.16,2025-06-09,0009,A,86,6.1NRT,294.95,17.92,N
31.32569,49.27876,309.18,1.8,1.32,2025-06-09,0009,A,77,6.1NRT,295.25,20.28,N
31.32203,49.29702,305.79,1.81,1.32,2025-06-09,0009,A,66,6.1NRT,294.45,15.19,N
31.28616,48.88744,306.77,1.7,1.28,2025-06-09,0009,A,69,6.1NRT,294.83,14.31,N
31.24402,48.98478,313.84,1.73,1.29,2025-06-09,0009,A,88,6.1NRT,295.6,26.52,N
31.77109,46.04514,314.7,1.16,1.07,2025-06-09,0009,A,90,6.1NRT,295.67,14.98,N
